Brand,Model,Price_Min,Price_Max,Notes
Samsung,Galaxy Z Fold 7,244999,244999,12+256GB
Samsung,Galaxy Z Fold 6,164999,164999,12+256GB
Samsung,Galaxy Z Flip 7,154999,154999,12+256GB
Samsung,Galaxy Z Flip 6,99999,99999,12+256GB
Samsung,Galaxy S26 Ultra,292999,292999,12GB+1TB
Samsung,Galaxy S26 Plus,182999,182999,12/256GB
Samsung,Galaxy S26,133999,133999,12/256GB
Samsung,Galaxy S25 Ultra,234999,234999,12GB+1TB
Samsung,Galaxy S24 Ultra,159999,159999,12+256GB
Samsung,Galaxy S25 Plus,141999,141999,12+256GB
Samsung,Galaxy S25,104999,104999,12+128GB
Samsung,Galaxy S25 FE 5G,99999107999,99999107999,8+256GB
Samsung,Galaxy A56 5G,6599971999,6599971999,8+256GB
Samsung,Galaxy M36 5G,3699941999,3699941999,8+128GB
Samsung,Galaxy A36 5G,4899953999,4899953999,8+128GB
Samsung,Galaxy A17 5G,2899936999,2899936999,6+128GB
Samsung,Galaxy M17 5G,2799932999,2799932999,6+128GB
Samsung,Galaxy A07,1599918999,1599918999,4+64GB
Samsung,"NPR 212,999",242999,242999,
Samsung,"NPR 184,999",199999,199999,
Apple,iPhone 17 Pro Max,239999,239999,256GB
Apple,iPhone 17 Pro,220999,220999,256GB
Apple,iPhone Air,200999178999,200999178999,256GB
Apple,iPhone 17,157299161599,157299161599,256GB
Apple,iPhone 16,135299128099,135299128099,128GB
Apple,iPhone 16e,10639998799,10639998799,128GB
Apple,iPhone 15,109899,109899,128GB
Apple,iPhone 14,85799,90799,128GB
Apple,iPhone 13,7739980399,7739980399,128GB
Apple,"NPR239,999",279999,279999,
Apple,"NPR220,999",259999,259999,
Apple,"NPR200,999, 178,999",128999,240999,
Apple,"NPR157,299, 161,599",197999,200899,
Xiaomi,Redmi A5,1099912499,1099912499,3+64GB
Xiaomi,Redmi 15C,14999,16999,4+128GB
Xiaomi,Redmi 15,18999,21999,6+128GB
Xiaomi,Redmi Note 15 4G,29999,29999,6+128GB
Xiaomi,Redmi Note 15 5G,39999,39999,8+256GB
Xiaomi,Redmi Note 15 Pro,49999,49999,8+256GB
Xiaomi,Redmi Note 15 Pro+ 5G,59999,59999,8+256GB
Xiaomi,Xiaomi 14T,59999,59999,12+512GB
Xiaomi,Xiaomi 15 Ultra,149999,149999,16+512GB
